id,sex,s_maths,s_read,e_behav1,e_behav2,e_behav3,e_maths,e_read,FSM,IDACI,start_vocab_total,School,Class,Age_at_start,Age_at_end,Classification,count,countFSM,percentageFSM,GrowthRate
49433,0,23,21,5,3,3,19,84,1,4702,12,1268,1179,4.16,4.91,1,28,7,0.21,0.999977654607935
18428,1,12,29,0,0,0,10,32,0,22437,16,436,873,5.03,5.12,1,50,1,0.49,0.999978676068669
51855,1,25,34,0,0,0,21,77,0,25795,18,1325,1212,4.94,5.68,1,45,2,0.43,0.999979607998897
59955,0,19,25,0,0,0,16,27,0,2149,14,1581,582,4.8,5.54,1,26,11,0.15,0.999979900756738
37152,0,13,21,0,0,0,11,20,1,19155,14,939,1049,4.77,5.4,1,18,2,0.16,0.999980461701441
59988,0,33,29,0,0,2,28,34,0,9735,15,1581,735,4.87,5,1,26,11,0.15,0.999980783453495
38334,0,27,49,0,0,0,23,67,0,21738,18,974,567,4.65,4.9,1,49,2,0.47,0.999981246649522
12672,1,14,21,0,0,0,12,61,0,31673,11,274,493,4.25,5,1,39,7,0.32,0.999981970843249
18442,1,14,25,4,0,0,12,33,0,7143,16,436,873,4.82,4.91,1,50,1,0.49,0.999981970843249
46938,0,7,9,6,0,0,6,14,1,6467,6,1216,96,4.12,4.87,1,21,2,0.19,0.999981970843249
65535,1,7,11,7,2,2,6,18,0,15120,9,1774,871,4.74,5.49,1,11,1,0.1,0.999981970843249
658,0,22,38,1,0,0,19,46,0,16181,16,18,295,5.11,5.52,1,10,3,0.07,0.999982853541833
32702,0,15,17,0,0,0,13,30,0,12035,10,821,996,4.38,5.12,1,40,3,0.37,0.999983263199285
15659,0,24,27,1,2,3,21,86,0,29978,19,356,1049,4.97,5.72,1,41,1,0.4,0.999984382415216
17183,1,16,23,4,0,0,14,37,0,22437,15,400,871,4.93,5.43,1,10,0,0.1,0.999984382415216
17304,1,26,39,1,0,0,23,45,0,4197,18,405,871,4.78,4.87,1,41,13,0.28,0.999985660649933
17317,0,26,34,5,3,0,23,44,1,4310,18,405,871,4.67,4.75,1,41,13,0.28,0.999985660649933
18447,1,26,33,5,3,1,23,40,1,20151,16,436,1377,5.01,5.1,1,50,1,0.49,0.999985660649933
5269,0,9,16,0,0,0,8,52,0,2956,7,111,329,4.57,5.32,1,38,13,0.25,0.999986224301242
50237,1,27,21,0,0,0,24,46,0,6007,10,1289,1049,4.61,5.44,1,26,3,0.23,0.999986224301242
17199,0,28,48,1,1,2,25,69,0,15352,16,401,1049,4.88,5.05,1,20,1,0.19,0.99998674527085
17320,0,29,46,0,0,0,26,65,1,4197,19,405,871,4.84,4.93,1,41,13,0.28,0.999987228234546
35914,0,29,54,0,0,0,26,54,0,25794,22,902,871,4.91,5.08,1,16,0,0.16,0.999987228234546
32991,1,30,35,0,0,0,27,63,1,457,16,827,182,4.72,5.03,1,10,4,0.06,0.999987677208598
46600,0,21,20,0,0,0,19,55,0,29580,13,1203,740,4.35,5.1,1,26,12,0.14,0.999988294400844
